127.0.0.1 - - [04/Jan/2024:13:47:59 +0000] "GET /help HTTP/1.1" 200 90905 "" "curl/7.59.0-DEV" -
127.0.0.1 - - [04/Jan/2024:13:49:00 +0000] "GET /help HTTP/1.1" 200 90890 "" "curl/7.59.0-DEV" -
172.21.0.1 - - [04/Jan/2024:13:49:44 +0000] "GET / HTTP/1.1" 302 101 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:49:45 +0000] "GET /users/sign_in HTTP/1.1" 302 149 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:49:45 +0000] "GET /users/password/edit?reset_password_token=AzEBpg-w78_rkWySYfLT HTTP/1.1" 200 4142 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" 2.44
172.21.0.1 - - [04/Jan/2024:13:49:45 +0000] "GET /assets/themes/theme_indigo-1e3c170ae7fd24d137960957cba8221abf63a78f8b108e77f131b0fed6a659c7.css HTTP/1.1" 200 752 "http://127.0.0.1:8888/users/password/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:49:45 +0000] "GET /assets/highlight/themes/white-0678dba52a34ddc3b009cf294c54cfbddb9bac5991d6377ab811afe156e5a0cb.css HTTP/1.1" 200 948 "http://127.0.0.1:8888/users/password/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:49:45 +0000] "GET /assets/application-969119f639d0837f445a10ced20d3a82d2ea69d682a4e74f39a48a4e7b443d5e.css HTTP/1.1" 200 180106 "http://127.0.0.1:8888/users/password/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:49:45 +0000] "GET /assets/webpack/runtime.cf03c281.bundle.js HTTP/1.1" 200 2890 "http://127.0.0.1:8888/users/password/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:49:45 +0000] "GET /assets/webpack/main.51b8c03b.chunk.js HTTP/1.1" 200 220883 "http://127.0.0.1:8888/users/password/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:49:45 +0000] "GET /assets/webpack/default.12b2c5b6.chunk.js HTTP/1.1" 200 156 "http://127.0.0.1:8888/users/password/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:49:45 +0000] "GET /assets/icons-795a2ef2fd636a0538bbef3b8d2787dd90927b42d7617fdda8620930016b333d.svg HTTP/1.1" 200 30771 "http://127.0.0.1:8888/users/password/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:49:45 +0000] "GET /assets/webpack/vendors-shortcutsBundle.f2f92312.chunk.js HTTP/1.1" 200 3703 "http://127.0.0.1:8888/users/password/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
172.21.0.1 - - [04/Jan/2024:13:49:45 +0000] "GET /assets/webpack/shortcutsBundle.12e3d77f.chunk.js HTTP/1.1" 200 2030 "http://127.0.0.1:8888/users/password/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" -
