# Logfile created on 2024-01-04 13:45:06 +0000 by logger.rb/66358
[2024-01-04T13:45:07+00:00] INFO: Started Chef Infra Zero at chefzero://localhost:1 with repository at /opt/gitlab/embedded
  One version per cookbook

[2024-01-04T13:45:08+00:00] INFO: *** Chef Infra Client 15.12.22 ***
[2024-01-04T13:45:08+00:00] INFO: Platform: x86_64-linux
[2024-01-04T13:45:08+00:00] INFO: Chef-client pid: 35
[2024-01-04T13:45:10+00:00] WARN: Plugin Network: unable to detect ipaddress
[2024-01-04T13:45:10+00:00] INFO: Setting the run_list to ["recipe[gitlab]"] from CLI options
[2024-01-04T13:45:10+00:00] INFO: Run List is [recipe[gitlab]]
[2024-01-04T13:45:10+00:00] INFO: Run List expands to [gitlab]
[2024-01-04T13:45:10+00:00] INFO: Starting Chef Infra Client Run for gitlab.wizall.com
[2024-01-04T13:45:10+00:00] INFO: Running start handlers
[2024-01-04T13:45:10+00:00] INFO: Start handlers complete.
[2024-01-04T13:45:10+00:00] INFO: Loading cookbooks [gitlab@0.0.1, package@0.1.0, postgresql@0.1.0, redis@0.1.0, monitoring@0.1.0, registry@0.1.0, mattermost@0.1.0, consul@0.1.0, gitaly@0.1.0, praefect@0.1.0, letsencrypt@0.1.0, nginx@0.1.0, runit@5.1.3, acme@4.1.1, crond@0.1.0]
[2024-01-04T13:45:10+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-pages-config.erb in the cache.
[2024-01-04T13:45:10+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitconfig.erb in the cache.
[2024-01-04T13:45:10+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-shell-config.yml.erb in the cache.
[2024-01-04T13:45:10+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/database.yml.erb in the cache.
[2024-01-04T13:45:10+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitconfig-system.erb in the cache.
[2024-01-04T13:45:10+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/mount_point_check.erb in the cache.
[2024-01-04T13:45:10+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-health.conf.erb in the cache.
[2024-01-04T13:45:10+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-healthcheck-rc.erb in the cache.
[2024-01-04T13:45:10+00:00] INFO: Storing updated cookbooks/gitlab/attributes/default.rb in the cache.
[2024-01-04T13:45:10+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/cable.yml.erb in the cache.
[2024-01-04T13:45:10+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab.yml.erb in the cache.
[2024-01-04T13:45:10+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/make_metrics_rundir.erb in the cache.
[2024-01-04T13:45:10+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-rails-error.html.erb in the cache.
[2024-01-04T13:45:10+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx.conf.erb in the cache.
[2024-01-04T13:45:10+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-registry-http.conf.erb in the cache.
[2024-01-04T13:45:10+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/logrotate.conf.erb in the cache.
[2024-01-04T13:45:10+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-pages-http.conf.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/secrets.yml.erb in the cache.
[2024-01-04T13:45:10+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-http.conf.erb in the cache.
[2024-01-04T13:45:10+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/logrotate-service.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-actioncable-h.erb in the cache.
[2024-01-04T13:45:10+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/gitlab-rails-rc.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-actioncable-run.erb in the cache.
[2024-01-04T13:45:10+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/remote_syslog.yml.erb in the cache.
[2024-01-04T13:45:10+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/resque.yml.erb in the cache.
[2024-01-04T13:45:10+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-gitlab-mattermost-http.conf.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-pages-run.erb in the cache.
[2024-01-04T13:45:10+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/puma.rb.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/smtp_settings.rb.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-actioncable-log-run.erb in the cache.
[2024-01-04T13:45:10+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/nginx-status.conf.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-log-run.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-run.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-actioncable-t.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-pages-log-run.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/secret_token.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-log-run.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-workhorse-run.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-puma-h.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-workhorse-log-config.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-actioncable-log-config.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-puma-log-run.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-t.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-workhorse-log-run.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-run.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-remote-syslog-run.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-logrotate-log-config.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-cluster-log-run.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-puma-log-config.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-log-config.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-puma-t.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-puma-run.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-storage-check-log-config.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-remote-syslog-log-config.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-finish.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-mailroom-log-config.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitlab-pages-log-config.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-log-run.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-log-run.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-t.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-run.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-cluster-log-config.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-storage-check-log-run.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-storage-check-run.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/actioncable.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-sidekiq-cluster-run.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-remote-syslog-log-run.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-run.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/README.md in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/database_migrations.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/default.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-healthcheck.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-log-config.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-pages_disable.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-rails.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/bootstrap_disable.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/unicorn.rb.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-workhorse_disable.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/config.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/workhorse-config.toml.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/actioncable_disable.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-pages.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/bootstrap.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/add_trusted_certs.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/nginx.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-unicorn-h.erb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-workhorse.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/puma_disable.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/logrotate.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/logrotate_disable.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/remove_accounts.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/mailroom_disable.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/remote-syslog.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-shell.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/sidekiq-cluster_disable.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/puma.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/nginx_disable.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/logrotate_folders_and_configs.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/storage-check_disable.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/mailroom.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/show_config.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/users.rb in the cache.
[2024-01-04T13:45:11+00:00] INFO: Storing updated cookbooks/gitlab/recipes/letsencrypt_renew.rb in the cache.
